dataset,clip_id,t,k,latent_l2_drift,cosine_distance,normalized_l2,ensemble_variance,effective_rank,mahalanobis,ebid_entropy,pixel_error
ssv2,133142,8,2,316.1893005371094,0.09175384044647217,0.4196423888206482,0.0123068792745471,4.478650093078613,13452.6640625,1.499321699142456,0.1656814068555832
ssv2,133142,8,4,357.1168212890625,0.1202993392944336,0.48056760430336,0.012464147061109543,4.4763593673706055,15930.8505859375,1.498810052871704,0.16705814003944397
ssv2,133142,8,8,505.3288269042969,0.2486702799797058,0.6919534206390381,0.012869641184806824,4.472240447998047,47119.37109375,1.497889518737793,0.18218906223773956
ssv2,133142,8,16,562.0663452148438,0.30046820640563965,0.7573959827423096,0.013276718556880951,4.476341724395752,36091.328125,1.498806118965149,0.1824292540550232
ssv2,133142,8,32,525.7988891601562,0.25733309984207153,0.6986764669418335,0.01356390118598938,4.478028774261475,17715.703125,1.499182939529419,0.18736085295677185
ssv2,133226,8,2,430.20025634765625,0.18057096004486084,0.5930408239364624,0.011342941783368587,4.476681709289551,3656.8642578125,1.4988820552825928,0.1513904184103012
ssv2,133226,8,4,428.567138671875,0.17319858074188232,0.5730301141738892,0.011367342434823513,4.477132797241211,54554.53125,1.4989827871322632,0.1540032923221588
ssv2,133226,8,8,399.4580078125,0.15233564376831055,0.5354413986206055,0.011512819677591324,4.475670337677002,2664.187744140625,1.498656153678894,0.15718409419059753
ssv2,133226,8,16,591.1904296875,0.3396599292755127,0.7909672856330872,0.011699862778186798,4.475961685180664,19088.29296875,1.4987212419509888,0.17365700006484985
ssv2,133226,8,32,653.7091064453125,0.4240274429321289,0.8828642964363098,0.011980819515883923,4.474829196929932,23842.123046875,1.4984681606292725,0.16804997622966766
ssv2,133298,8,2,277.6462097167969,0.06936705112457275,0.3678455352783203,0.0123048210516572,4.476635932922363,3346.96142578125,1.4988718032836914,0.22338137030601501
ssv2,133298,8,4,309.2189025878906,0.08661407232284546,0.4108949899673462,0.012439765967428684,4.478811264038086,14391.0087890625,1.4993577003479004,0.22799202799797058
ssv2,133298,8,8,428.0535583496094,0.16693580150604248,0.567942202091217,0.012699265964329243,4.472953796386719,23940.736328125,1.498049020767212,0.2276708334684372
ssv2,133298,8,16,445.76727294921875,0.18047106266021729,0.5893358588218689,0.01284801121801138,4.478269100189209,42484.09765625,1.4992365837097168,0.23909923434257507
ssv2,133298,8,32,477.2984619140625,0.20890742540359497,0.6349788308143616,0.013228632509708405,4.474250793457031,53032.484375,1.4983389377593994,0.23792363703250885
ssv2,133344,8,2,580.5197143554688,0.36526328325271606,0.8583828806877136,0.011730503290891647,4.475566387176514,52377.9921875,1.4986329078674316,0.2965734302997589
ssv2,133344,8,4,642.5765380859375,0.4566487669944763,0.9641042351722717,0.011792111210525036,4.475324630737305,119581.0234375,1.4985789060592651,0.30661335587501526
ssv2,133344,8,8,693.498046875,0.5434107780456543,1.0433717966079712,0.012046103365719318,4.474889755249023,100905.6171875,1.4984817504882812,0.33082354068756104
ssv2,133344,8,16,740.3560180664062,0.5990592837333679,1.0724334716796875,0.012293252162635326,4.477934837341309,58525.15625,1.499161958694458,0.33475178480148315
ssv2,133344,8,32,680.3189086914062,0.48179686069488525,0.9395903944969177,0.012626484967768192,4.474620342254639,63472.546875,1.498421549797058,0.3036494851112366
kinetics_mini,train/high_jump/-jT3HvUWlGs_000008_000018,8,2,517.2030639648438,0.2460646629333496,0.6835524439811707,0.012136916629970074,4.481194019317627,74876.6328125,1.4998894929885864,0.2085748314857483
kinetics_mini,train/high_jump/-jT3HvUWlGs_000008_000018,8,4,499.4558410644531,0.23833954334259033,0.6766570210456848,0.012251553125679493,4.475863933563232,2634.381591796875,1.498699426651001,0.21099083125591278
kinetics_mini,train/high_jump/-jT3HvUWlGs_000008_000018,8,8,390.8636169433594,0.15427476167678833,0.5467184782028198,0.012573905289173126,4.4764299392700195,21734.44921875,1.4988257884979248,0.20960325002670288
kinetics_mini,train/high_jump/-jT3HvUWlGs_000008_000018,8,16,648.6680297851562,0.4170966148376465,0.8813555836677551,0.012899716384708881,4.474926948547363,23520.455078125,1.4984899759292603,0.22843503952026367
kinetics_mini,train/high_jump/-jT3HvUWlGs_000008_000018,8,32,512.101806640625,0.28102821111679077,0.7386205792427063,0.013174834661185741,4.477048397064209,32526.962890625,1.4989639520645142,0.2213999480009079
kinetics_mini,train/high_jump/-meoRkRbhRc_000032_000042,8,2,503.5404052734375,0.2302178144454956,0.6600479483604431,0.012875288724899292,4.474676609039307,5153.75830078125,1.498434066772461,0.20579050481319427
kinetics_mini,train/high_jump/-meoRkRbhRc_000032_000042,8,4,544.2078857421875,0.2722209692001343,0.7156590819358826,0.0130187151953578,4.476690292358398,107175.6953125,1.4988839626312256,0.21634867787361145
kinetics_mini,train/high_jump/-meoRkRbhRc_000032_000042,8,8,605.6310424804688,0.34109723567962646,0.7930952310562134,0.013423673808574677,4.477641582489014,3985.566162109375,1.4990965127944946,0.23137833178043365
kinetics_mini,train/high_jump/-meoRkRbhRc_000032_000042,8,16,666.7166748046875,0.4221488833427429,0.8813885450363159,0.013738124631345272,4.479910373687744,132164.578125,1.499603033065796,0.2383413463830948
kinetics_mini,train/high_jump/-meoRkRbhRc_000032_000042,8,32,712.0009155273438,0.49273109436035156,0.9491873383522034,0.01404550950974226,4.475575923919678,108232.578125,1.4986350536346436,0.2670205533504486
kinetics_mini,train/high_jump/-v6Dj_-drts_000003_000013,8,2,312.9364929199219,0.09070658683776855,0.41642850637435913,0.012238211929798126,4.479730606079102,4257.4970703125,1.4995628595352173,0.17851103842258453
kinetics_mini,train/high_jump/-v6Dj_-drts_000003_000013,8,4,350.3073425292969,0.11420983076095581,0.4647533595561981,0.012410051189363003,4.475994110107422,20700.6875,1.4987285137176514,0.17878594994544983
kinetics_mini,train/high_jump/-v6Dj_-drts_000003_000013,8,8,423.3302917480469,0.170599102973938,0.5618265271186829,0.01270749419927597,4.476670265197754,7451.38916015625,1.4988795518875122,0.1857653558254242
kinetics_mini,train/high_jump/-v6Dj_-drts_000003_000013,8,16,481.8648376464844,0.22583919763565063,0.6417527198791504,0.01300707459449768,4.476752281188965,45462.1796875,1.4988977909088135,0.18996290862560272
kinetics_mini,train/high_jump/-v6Dj_-drts_000003_000013,8,32,539.5894165039062,0.2857227325439453,0.7171535491943359,0.013404369354248047,4.479341506958008,6001.9345703125,1.4994760751724243,0.1962963044643402
kinetics_mini,train/high_jump/-xQtkrkZSJ0_000006_000016,8,2,435.2391662597656,0.16907715797424316,0.5683622360229492,0.012772835791110992,4.473822116851807,25485.748046875,1.4982430934906006,0.20649397373199463
kinetics_mini,train/high_jump/-xQtkrkZSJ0_000006_000016,8,4,479.6717224121094,0.20603281259536743,0.624825656414032,0.012864901684224606,4.476056098937988,60086.953125,1.4987423419952393,0.21401455998420715
kinetics_mini,train/high_jump/-xQtkrkZSJ0_000006_000016,8,8,542.219482421875,0.2683773636817932,0.7080264091491699,0.013171084225177765,4.474795341491699,50474.42578125,1.4984606504440308,0.22249329090118408
kinetics_mini,train/high_jump/-xQtkrkZSJ0_000006_000016,8,16,579.5888671875,0.30707448720932007,0.7527642250061035,0.01325187087059021,4.474908828735352,7569.0703125,1.4984859228134155,0.23222406208515167
