dataset,clip_id,mode,epsilon,j,entropy,pixel_error
ssv2,124779,corrected,0.2,12,2.056462526321411,0.2705360949039459
ssv2,124779,corrected,0.2,16,1.863616704940796,0.26479777693748474
ssv2,124779,corrected,0.2,24,1.8649638891220093,0.2730221450328827
ssv2,124779,corrected,0.2,32,1.9074782133102417,0.24639318883419037
ssv2,124779,corrected,0.4,2,2.1546273231506348,0.26256856322288513
ssv2,124779,corrected,0.4,4,2.141049861907959,0.2623916566371918
ssv2,124779,corrected,0.4,6,2.1376090049743652,0.2640529274940491
ssv2,124779,corrected,0.4,8,2.093585252761841,0.2660712003707886
ssv2,124779,corrected,0.4,12,2.0614125728607178,0.2699221968650818
ssv2,124779,corrected,0.4,16,1.8666162490844727,0.2644907534122467
ssv2,124779,corrected,0.4,24,1.871117115020752,0.2727373242378235
ssv2,124779,corrected,0.4,32,1.9421106576919556,0.2461080551147461
ssv2,124779,corrected,0.8,2,2.138442039489746,0.26119372248649597
ssv2,124779,corrected,0.8,4,2.122947931289673,0.2618364095687866
ssv2,124779,corrected,0.8,6,2.1326489448547363,0.2635175883769989
ssv2,124779,corrected,0.8,8,2.0877976417541504,0.2660066485404968
ssv2,124779,corrected,0.8,12,2.051931381225586,0.26849043369293213
ssv2,124779,corrected,0.8,16,1.8506510257720947,0.26416850090026855
ssv2,124779,corrected,0.8,24,1.8403226137161255,0.2732301354408264
ssv2,124779,corrected,0.8,32,1.9110345840454102,0.24688425660133362
ssv2,124844,pure,0.0,2,1.941420316696167,0.2732839286327362
ssv2,124844,pure,0.0,4,1.9861512184143066,0.2766914963722229
ssv2,124844,pure,0.0,6,2.0186243057250977,0.2549441158771515
ssv2,124844,pure,0.0,8,1.9469785690307617,0.23801735043525696
ssv2,124844,pure,0.0,12,1.9251151084899902,0.23487377166748047
ssv2,124844,pure,0.0,16,1.7602214813232422,0.20984287559986115
ssv2,124844,pure,0.0,24,1.6860071420669556,0.21908064186573029
ssv2,124844,pure,0.0,32,1.6579246520996094,0.19503948092460632
ssv2,124844,pure,0.05,2,1.9417407512664795,0.2733200490474701
ssv2,124844,pure,0.05,4,1.9868708848953247,0.27669575810432434
ssv2,124844,pure,0.05,6,2.018981456756592,0.2549399435520172
ssv2,124844,pure,0.05,8,1.9471616744995117,0.2380232810974121
ssv2,124844,pure,0.05,12,1.9253673553466797,0.23489686846733093
ssv2,124844,pure,0.05,16,1.7605211734771729,0.20984463393688202
ssv2,124844,pure,0.05,24,1.6863820552825928,0.21907731890678406
ssv2,124844,pure,0.05,32,1.6579822301864624,0.19504091143608093
ssv2,124844,pure,0.1,2,1.940855622291565,0.27331531047821045
ssv2,124844,pure,0.1,4,1.9863052368164062,0.27674540877342224
ssv2,124844,pure,0.1,6,2.0190277099609375,0.25498995184898376
ssv2,124844,pure,0.1,8,1.947197675704956,0.2380528599023819
ssv2,124844,pure,0.1,12,1.9245078563690186,0.23490285873413086
ssv2,124844,pure,0.1,16,1.760019302368164,0.20985640585422516
ssv2,124844,pure,0.1,24,1.6859415769577026,0.21909967064857483
ssv2,124844,pure,0.1,32,1.6580302715301514,0.19505271315574646
ssv2,124844,pure,0.2,2,1.9419314861297607,0.27316814661026
ssv2,124844,pure,0.2,4,1.9853273630142212,0.27660703659057617
ssv2,124844,pure,0.2,6,2.017317533493042,0.25488197803497314
ssv2,124844,pure,0.2,8,1.9461424350738525,0.2379382848739624
ssv2,124844,pure,0.2,12,1.9243664741516113,0.23479172587394714
ssv2,124844,pure,0.2,16,1.7590748071670532,0.2098063826560974
ssv2,124844,pure,0.2,24,1.6848000288009644,0.21904869377613068
ssv2,124844,pure,0.2,32,1.6564626693725586,0.1950354129076004
ssv2,124844,pure,0.4,2,1.9412055015563965,0.2733495533466339
ssv2,124844,pure,0.4,4,1.9853519201278687,0.2766854763031006
ssv2,124844,pure,0.4,6,2.017404556274414,0.25506338477134705
ssv2,124844,pure,0.4,8,1.946879506111145,0.23803605139255524
ssv2,124844,pure,0.4,12,1.9255768060684204,0.23481504619121552
ssv2,124844,pure,0.4,16,1.7608232498168945,0.20981426537036896
ssv2,124844,pure,0.4,24,1.6858148574829102,0.21907939016819
ssv2,124844,pure,0.4,32,1.6576006412506104,0.1950455904006958
ssv2,124844,pure,0.8,2,1.9292738437652588,0.2742888629436493
ssv2,124844,pure,0.8,4,1.979388952255249,0.27698683738708496
ssv2,124844,pure,0.8,6,2.018822193145752,0.25545811653137207
ssv2,124844,pure,0.8,8,1.9449669122695923,0.23845311999320984
ssv2,124844,pure,0.8,12,1.9183943271636963,0.2352292686700821
ssv2,124844,pure,0.8,16,1.7546671628952026,0.21006229519844055
ssv2,124844,pure,0.8,24,1.6804993152618408,0.2191222608089447
ssv2,124844,pure,0.8,32,1.6522656679153442,0.1951887309551239
ssv2,124844,corrected,0.0,2,2.194262742996216,0.26178187131881714
ssv2,124844,corrected,0.0,4,2.161517858505249,0.26236841082572937
ssv2,124844,corrected,0.0,6,2.1469175815582275,0.24150122702121735
ssv2,124844,corrected,0.0,8,2.0968785285949707,0.22256824374198914
ssv2,124844,corrected,0.0,12,2.119086265563965,0.21966183185577393
ssv2,124844,corrected,0.0,16,1.9779282808303833,0.20469817519187927
ssv2,124844,corrected,0.0,24,1.9039642810821533,0.21102066338062286
ssv2,124844,corrected,0.0,32,1.8626025915145874,0.19065313041210175
ssv2,124844,corrected,0.05,2,2.1938436031341553,0.26179853081703186
ssv2,124844,corrected,0.05,4,2.1597557067871094,0.262364000082016
ssv2,124844,corrected,0.05,6,2.1454339027404785,0.24159765243530273
ssv2,124844,corrected,0.05,8,2.095829486846924,0.22269539535045624
ssv2,124844,corrected,0.05,12,2.1185455322265625,0.21961289644241333
ssv2,124844,corrected,0.05,16,1.976440191268921,0.20468470454216003
ssv2,124844,corrected,0.05,24,1.9028387069702148,0.21100151538848877
ssv2,124844,corrected,0.05,32,1.8604193925857544,0.19067013263702393
ssv2,124844,corrected,0.1,2,2.1933629512786865,0.2619640529155731
ssv2,124844,corrected,0.1,4,2.1567461490631104,0.26244133710861206
ssv2,124844,corrected,0.1,6,2.1443727016448975,0.24174433946609497
ssv2,124844,corrected,0.1,8,2.093599796295166,0.22276605665683746
ssv2,124844,corrected,0.1,12,2.1136183738708496,0.21985329687595367
ssv2,124844,corrected,0.1,16,1.9720693826675415,0.20463763177394867
ssv2,124844,corrected,0.1,24,1.8978773355484009,0.21105699241161346
ssv2,124844,corrected,0.1,32,1.8570928573608398,0.19067561626434326
ssv2,124844,corrected,0.2,2,2.201643943786621,0.26112180948257446
ssv2,124844,corrected,0.2,4,2.1617817878723145,0.26163721084594727
ssv2,124844,corrected,0.2,6,2.143306016921997,0.24094966053962708
ssv2,124844,corrected,0.2,8,2.0928847789764404,0.22232294082641602
ssv2,124844,corrected,0.2,12,2.1188507080078125,0.2194860726594925
ssv2,124844,corrected,0.2,16,1.9765048027038574,0.20409804582595825
ssv2,124844,corrected,0.2,24,1.8998578786849976,0.21076510846614838
ssv2,124844,corrected,0.2,32,1.860171914100647,0.19063077867031097
ssv2,124844,corrected,0.4,2,2.196587562561035,0.2634170949459076
ssv2,124844,corrected,0.4,4,2.153083324432373,0.26363205909729004
ssv2,124844,corrected,0.4,6,2.1409215927124023,0.24244004487991333
ssv2,124844,corrected,0.4,8,2.094362258911133,0.22372838854789734
ssv2,124844,corrected,0.4,12,2.116042375564575,0.22054772078990936
ssv2,124844,corrected,0.4,16,1.965266227722168,0.20414400100708008
ssv2,124844,corrected,0.4,24,1.8873648643493652,0.21074692904949188
ssv2,124844,corrected,0.4,32,1.8530036211013794,0.19072774052619934
ssv2,124844,corrected,0.8,2,2.1880741119384766,0.26062366366386414
ssv2,124844,corrected,0.8,4,2.1421356201171875,0.2606787085533142
ssv2,124844,corrected,0.8,6,2.135185718536377,0.2401389181613922
ssv2,124844,corrected,0.8,8,2.0817272663116455,0.22204475104808807
ssv2,124844,corrected,0.8,12,2.0700411796569824,0.2195081114768982
ssv2,124844,corrected,0.8,16,1.9193384647369385,0.20332880318164825
ssv2,124844,corrected,0.8,24,1.841639518737793,0.20976999402046204
ssv2,124844,corrected,0.8,32,1.826786756515503,0.18918059766292572
ssv2,125148,pure,0.0,2,2.2561182975769043,0.2651376724243164
ssv2,125148,pure,0.0,4,2.182140588760376,0.26213136315345764
