dataset,clip_id,t,k,latent_drift,pixel_error,excess_over_floor,spectral_entropy
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,8,1351.3533935546875,0.28908032178878784,0.10952426493167877,2.243945598602295
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,16,1345.3642578125,0.2913709878921509,0.11181493103504181,2.2281460762023926
kinetics_mini,train/archery/-5NN5hdIwTc_000036_000046,8,32,1347.517578125,0.2898664176464081,0.11031036078929901,2.196582078933716
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,2,1366.1495361328125,0.3970802128314972,0.21752415597438812,2.3194122314453125
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,4,1382.6915283203125,0.39749884605407715,0.21794278919696808,2.2980332374572754
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,8,1382.6160888671875,0.39601922035217285,0.21646316349506378,2.2924907207489014
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,16,1376.5738525390625,0.39478233456611633,0.21522627770900726,2.195204019546509
kinetics_mini,train/archery/-GcVBfs4zw8_000007_000017,8,32,1396.197021484375,0.3931373357772827,0.21358127892017365,2.1137771606445312
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,2,1413.865234375,0.44404447078704834,0.26448841392993927,2.498845338821411
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,4,1411.63720703125,0.44631537795066833,0.26675932109355927,2.474226236343384
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,8,1410.541015625,0.4408750534057617,0.26131899654865265,2.4911117553710938
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,16,1421.9697265625,0.44519004225730896,0.2656339854001999,2.3675217628479004
kinetics_mini,train/archery/-Hn5WqDh9hI_000104_000114,8,32,1416.4246826171875,0.4425469636917114,0.26299090683460236,2.3806357383728027
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,2,1370.3203125,0.234130397439003,0.05457434058189392,2.1164002418518066
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,4,1356.21630859375,0.2374403476715088,0.05788429081439972,2.054964542388916
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,8,1355.555419921875,0.23670296370983124,0.05714690685272217,2.0972394943237305
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,16,1389.640869140625,0.22373120486736298,0.044175148010253906,1.8948304653167725
kinetics_mini,train/archery/-Njxj40a0OQ_000000_000010,8,32,1402.9464111328125,0.2293393313884735,0.04978327453136444,1.82585871219635
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,2,1358.589111328125,0.354104220867157,0.1745481640100479,2.299163579940796
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,4,1343.3765869140625,0.35513031482696533,0.17557425796985626,2.272925853729248
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,8,1342.4302978515625,0.3597760498523712,0.18021999299526215,2.2050325870513916
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,16,1339.73583984375,0.36247479915618896,0.1829187422990799,2.123744487762451
kinetics_mini,train/archery/-OVw1usq968_000213_000223,8,32,1377.23291015625,0.3707752525806427,0.19121919572353363,1.8384284973144531
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,2,1281.0506591796875,0.3800112009048462,0.20045514404773712,2.186516046524048
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,4,1346.6005859375,0.38200223445892334,0.20244617760181427,2.1614978313446045
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,8,1289.194091796875,0.3768000602722168,0.19724400341510773,2.2223594188690186
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,16,1403.3985595703125,0.3624328672885895,0.1828768104314804,2.217834949493408
kinetics_mini,train/archery/-R5E3-cmrq8_000000_000010,8,32,1323.4022216796875,0.3768948018550873,0.1973387449979782,2.0123298168182373
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,2,1308.6435546875,0.12823116779327393,-0.051324889063835144,2.2990145683288574
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,4,1320.967041015625,0.12961497902870178,-0.04994107782840729,2.3074004650115967
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,8,1348.2547607421875,0.13223573565483093,-0.04732032120227814,2.273698091506958
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,16,1344.8563232421875,0.12876786291599274,-0.05078819394111633,2.1855409145355225
kinetics_mini,train/archery/-RZ9mL8wnJc_000025_000035,8,32,1303.100341796875,0.1293010711669922,-0.05025498569011688,2.1602842807769775
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,2,1358.4686279296875,0.28431326150894165,0.10475720465183258,2.485429048538208
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,4,1359.0196533203125,0.2848718762397766,0.10531581938266754,2.4807662963867188
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,8,1353.0814208984375,0.28207749128341675,0.10252143442630768,2.449084997177124
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,16,1363.1461181640625,0.2840699255466461,0.10451386868953705,2.452272415161133
kinetics_mini,train/archery/-SqXDd4XIJM_000032_000042,8,32,1356.5230712890625,0.28562843799591064,0.10607238113880157,2.470811367034912
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,2,1311.6329345703125,0.27795180678367615,0.09839574992656708,2.2241969108581543
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,4,1413.4129638671875,0.2807272970676422,0.10117124021053314,2.195251703262329
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,8,1417.8248291015625,0.2780792713165283,0.09852321445941925,2.1666059494018555
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,16,1333.6383056640625,0.28085553646087646,0.1012994796037674,2.0333683490753174
kinetics_mini,train/archery/-U1ym96B9l4_000010_000020,8,32,1295.155029296875,0.2825924754142761,0.10303641855716705,1.8063946962356567
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,2,1331.2791748046875,0.1656249463558197,-0.013931110501289368,2.171888828277588
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,4,1329.6680908203125,0.1684620976448059,-0.011093959212303162,1.9185830354690552
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,8,1314.720703125,0.1878187358379364,0.008262678980827332,1.9874122142791748
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,16,1308.1982421875,0.22484272718429565,0.045286670327186584,1.7768456935882568
kinetics_mini,train/bowling/-5ExwuF5IUI_000030_000040,8,32,1312.7542724609375,0.23464544117450714,0.05508938431739807,1.864104986190796
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,2,1375.7059326171875,0.21775440871715546,0.03819835186004639,2.432988166809082
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,4,1321.8905029296875,0.22177360951900482,0.04221755266189575,2.3571507930755615
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,8,1304.528076171875,0.2195327877998352,0.039976730942726135,2.356609344482422
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,16,1380.7554931640625,0.22050277888774872,0.04094672203063965,2.0521562099456787
kinetics_mini,train/bowling/-7sTNNI1Bcg_000075_000085,8,32,1319.8533935546875,0.22123420238494873,0.04167814552783966,2.1106598377227783
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,8,2,1011.5103149414062,0.40518808364868164,0.22563202679157257,1.5992993116378784
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,8,4,1004.8828125,0.43427538871765137,0.2547193318605423,1.591505765914917
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,8,8,1348.12890625,0.473839670419693,0.2942836135625839,1.6018446683883667
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,8,16,1389.0897216796875,0.4163108766078949,0.23675481975078583,1.5224374532699585
kinetics_mini,train/bowling/-A3CcrEtLpM_000000_000010,8,32,1396.808349609375,0.3921942710876465,0.21263821423053741,1.567217469215393
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,8,2,1444.1082763671875,0.28640663623809814,0.10685057938098907,2.2838761806488037
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,8,4,1444.42724609375,0.2953471541404724,0.11579109728336334,2.2599756717681885
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,8,8,1433.870361328125,0.3009835481643677,0.1214274913072586,2.2716050148010254
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,8,16,1458.4610595703125,0.29965031147003174,0.12009425461292267,2.1479852199554443
kinetics_mini,train/bowling/-HtSfbgCm10_000040_000050,8,32,1469.9259033203125,0.3031359314918518,0.12357987463474274,2.1120529174804688
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8,2,1309.9603271484375,0.31915491819381714,0.13959886133670807,2.410801887512207
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8,4,1332.5135498046875,0.3232930898666382,0.1437370330095291,2.3288919925689697
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8,8,1326.6611328125,0.32653549313545227,0.1469794362783432,2.3079335689544678
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8,16,1369.1865234375,0.3967336118221283,0.21717755496501923,2.1575512886047363
kinetics_mini,train/bowling/-ID7HUQnT5g_000010_000020,8,32,1397.5535888671875,0.3118269741535187,0.1322709172964096,2.1026854515075684
kinetics_mini,train/bowling/-N4G4FQ2s3U_000169_000179,8,2,1383.5538330078125,0.22892501950263977,0.0493689626455307,2.4695096015930176
kinetics_mini,train/bowling/-N4G4FQ2s3U_000169_000179,8,4,1397.94482421875,0.22977139055728912,0.050215333700180054,2.401979446411133
kinetics_mini,train/bowling/-N4G4FQ2s3U_000169_000179,8,8,1380.70166015625,0.2308691143989563,0.05131305754184723,2.342426300048828
kinetics_mini,train/bowling/-N4G4FQ2s3U_000169_000179,8,16,1413.2069091796875,0.22921274602413177,0.049656689167022705,2.1483824253082275
kinetics_mini,train/bowling/-N4G4FQ2s3U_000169_000179,8,32,1443.722412109375,0.23089955747127533,0.05134350061416626,1.871968388557434
kinetics_mini,train/bowling/-N4vEATi9Mk_000003_000013,8,2,1418.7464599609375,0.2500685155391693,0.07051245868206024,2.106771945953369
kinetics_mini,train/bowling/-N4vEATi9Mk_000003_000013,8,4,1423.21533203125,0.24500222504138947,0.0654461681842804,1.946933627128601
kinetics_mini,train/bowling/-N4vEATi9Mk_000003_000013,8,8,1400.083984375,0.22115127742290497,0.0415952205657959,2.0615437030792236
kinetics_mini,train/bowling/-N4vEATi9Mk_000003_000013,8,16,1409.359375,0.23560544848442078,0.05604939162731171,1.7912906408309937
kinetics_mini,train/bowling/-N4vEATi9Mk_000003_000013,8,32,1403.55908203125,0.23609696328639984,0.05654090642929077,1.740357518196106
kinetics_mini,train/bowling/-VMdyhBgByw_000014_000024,8,2,1408.3275146484375,0.201488196849823,0.021932139992713928,2.520185947418213
kinetics_mini,train/bowling/-VMdyhBgByw_000014_000024,8,4,1404.992919921875,0.2033810168504715,0.023824959993362427,2.4834258556365967
kinetics_mini,train/bowling/-VMdyhBgByw_000014_000024,8,8,1414.09423828125,0.2041834145784378,0.024627357721328735,2.441171884536743
kinetics_mini,train/bowling/-VMdyhBgByw_000014_000024,8,16,1410.9310302734375,0.20663313567638397,0.027077078819274902,2.284296989440918
kinetics_mini,train/bowling/-VMdyhBgByw_000014_000024,8,32,1442.6041259765625,0.20737841725349426,0.027822360396385193,2.073557138442993
kinetics_mini,train/bowling/-W06q2S-RG0_000251_000261,8,2,1375.7620849609375,0.23764419555664062,0.058088138699531555,2.2066211700439453
kinetics_mini,train/bowling/-W06q2S-RG0_000251_000261,8,4,1372.2047119140625,0.23618459701538086,0.05662854015827179,2.160606861114502
kinetics_mini,train/bowling/-W06q2S-RG0_000251_000261,8,8,1355.185791015625,0.23717457056045532,0.05761851370334625,2.1163253784179688
kinetics_mini,train/bowling/-W06q2S-RG0_000251_000261,8,16,1366.1153564453125,0.21347355842590332,0.03391750156879425,2.0821986198425293
kinetics_mini,train/bowling/-W06q2S-RG0_000251_000261,8,32,1362.193603515625,0.22471623122692108,0.04516017436981201,2.079688310623169
kinetics_mini,train/bowling/-WyrUbKbzw8_000006_000016,8,2,1430.7391357421875,0.25351980328559875,0.07396374642848969,2.448914051055908
kinetics_mini,train/bowling/-WyrUbKbzw8_000006_000016,8,4,1432.393310546875,0.25395166873931885,0.07439561188220978,2.412128210067749
kinetics_mini,train/bowling/-WyrUbKbzw8_000006_000016,8,8,1415.1317138671875,0.25253334641456604,0.07297728955745697,2.4065887928009033
kinetics_mini,train/bowling/-WyrUbKbzw8_000006_000016,8,16,1407.2469482421875,0.2435726374387741,0.06401658058166504,2.163958787918091
kinetics_mini,train/bowling/-WyrUbKbzw8_000006_000016,8,32,1409.897216796875,0.25337469577789307,0.073818638920784,2.1116418838500977
