dataset,clip_id,t,k,latent_l2_drift,cosine_distance,normalized_l2,ensemble_variance,effective_rank,mahalanobis,ebid_entropy,pixel_error
ssv2,137530,8,2,4.879541873931885,0.020145058631896973,0.3612978160381317,6.599771586479619e-05,3.559919595718384,7852.15771484375,1.269737958908081,0.24689191579818726
ssv2,137530,8,4,5.900963306427002,0.026445090770721436,0.44409656524658203,1.1703917152772192e-05,3.1066720485687256,29657.7578125,1.133552074432373,0.247628852725029
ssv2,137530,8,8,23.820585250854492,1.695558786392212,3.3934874534606934,1.4286782061390113e-05,2.030749559402466,96861.609375,0.7084049582481384,0.23907993733882904
ssv2,137530,8,16,4.130270004272461,0.012098252773284912,0.2661519944667816,3.193485099473037e-06,3.088953733444214,281.90594482421875,1.1278324127197266,0.26841387152671814
ssv2,137530,8,32,2.862067222595215,0.007034122943878174,0.16798533499240875,2.0279821910662577e-06,2.352505683898926,6398.3486328125,0.855480968952179,0.22571618854999542
ssv2,137573,8,2,4.071672439575195,0.018595635890960693,0.3447377681732178,4.041400461574085e-05,3.4614477157592773,2519.5927734375,1.2416869401931763,0.3274552524089813
ssv2,137573,8,4,5.461886882781982,0.02806079387664795,0.4768199920654297,6.885357379360357e-06,3.821737051010132,27770.7578125,1.3407050371170044,0.3296422064304352
ssv2,137573,8,8,6.81810998916626,0.04228568077087402,0.614719808101654,5.094909283798188e-06,3.01202392578125,41819.58203125,1.1026122570037842,0.3272925317287445
ssv2,137573,8,16,9.028545379638672,0.08241325616836548,0.8968538641929626,2.1702451249439036e-06,3.091885566711426,33525.68359375,1.1287810802459717,0.3287966549396515
ssv2,137573,8,32,15.205427169799805,0.4342626929283142,2.289170503616333,1.7330263517578715e-06,2.200228691101074,69458.625,0.7885612845420837,0.3313167095184326
ssv2,137596,8,2,2.6008472442626953,0.006248533725738525,0.1573740392923355,5.033568959333934e-05,4.3815741539001465,18093.025390625,1.4774080514907837,0.25050169229507446
ssv2,137596,8,4,2.9737770557403564,0.006943404674530029,0.1799754500389099,1.075656200555386e-05,3.371321678161621,15578.4013671875,1.2153048515319824,0.2519076466560364
ssv2,137596,8,8,3.2662553787231445,0.007972955703735352,0.1980157196521759,5.418534783530049e-06,4.079836368560791,22970.859375,1.4060568809509277,0.25348541140556335
ssv2,137596,8,16,3.5330123901367188,0.00926905870437622,0.21441417932510376,3.2057125736173475e-06,2.8263044357299805,6672.55859375,1.0389699935913086,0.25577276945114136
ssv2,137596,8,32,3.275416851043701,0.008840739727020264,0.19266265630722046,1.549218154650589e-06,3.1361823081970215,10275.4384765625,1.1430062055587769,0.2578471899032593
kinetics_mini,val/archery/3and4vWkW4s_000011_000021,8,2,3.3969967365264893,0.031004130840301514,0.4589434564113617,1.506217540736543e-05,4.250718116760254,23427.470703125,1.4470878839492798,0.28694477677345276
kinetics_mini,val/archery/3and4vWkW4s_000011_000021,8,4,4.2201151847839355,0.034995973110198975,0.5883095264434814,8.824899850878865e-06,3.0274252891540527,15498.6640625,1.1077125072479248,0.2907666265964508
kinetics_mini,val/archery/3and4vWkW4s_000011_000021,8,8,4.830772876739502,0.04313087463378906,0.7023217082023621,3.4184743071818957e-06,4.261601448059082,21065.603515625,1.4496450424194336,0.29348260164260864
kinetics_mini,val/archery/3and4vWkW4s_000011_000021,8,16,5.061077117919922,0.046517372131347656,0.7476876378059387,2.582845809229184e-06,3.0704569816589355,44012.87109375,1.121826410293579,0.29540833830833435
